is_weekend,is_peak_hour,is_late_night,is_offpeak,is_ramadan,is_uae_public_holiday,is_suhoor_window,is_iftar_window,event_demand_multiplier,temperature_c,humidity_pct,is_rain,is_sandstorm,weather_demand_factor,pickup_lat,pickup_lon,dropoff_lat,dropoff_lon,is_airport_ride,is_intrazone_trip,pickup_density_score,dropoff_density_score,route_direct_distance_km,route_distance_km,route_efficiency_ratio,route_bearing_deg,salik_gates,is_hala_product,is_careem_plus,demand_index,traffic_index,hour_sin,hour_cos,dow_sin,dow_cos,month_sin,month_cos,rain_x_peak,storm_x_peak,ramadan_x_hour,event_x_peak,airport_x_peak,route_mid_lat,route_mid_lon,lat_delta,lon_delta,bearing_sin,bearing_cos,distance_gap_km,traffic_x_peak,distance_x_traffic,efficiency_x_traffic,product_type_Comfort,product_type_Eco Friendly,product_type_Electric,product_type_Executive,product_type_Hala Kids,product_type_Hala MAX,product_type_Hala Taxi,product_type_Kids,product_type_MAX,product_type_Premier,payment_method_Careem Pay,payment_method_Careem Plus,payment_method_Cash,payment_method_Credit Card,event_type_Art/Culture,event_type_Cultural Event,event_type_Food Festival,event_type_National Holiday,event_type_New Year Event,event_type_Religious Holiday,event_type_Shopping Festival,event_type_Sports Event,event_type_Tech Conference,event_type_Trade Show
0,0,0,1,0,0,0,0,1.0,34.9,74.5,0,0,1.0,25.224644,55.427402,25.122523,55.380704,0,0,1.0,1.05,12.29,29.48,2.399,202.49,2,0,0,1.0,0.947,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210297e-16,0,0,0,0,0,25.1735835,55.404053000000005,-0.10212100000000035,-0.04669799999999924,-0.38252217913996567,-0.9239463092983337,17.19,0.0,27.917559999999998,2.271853,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,1.0,40.9,73.6,0,0,1.0,25.27973,55.325827,25.235164,55.297667,0,0,1.05,1.05,5.71,6.34,1.111,209.75,1,0,0,0.966,0.793,-0.25881904510252157,0.9659258262890681,0.9749279121818236,-0.22252093395631434,-0.4999999999999997,-0.8660254037844388,0,0,0,0,0,25.257447,55.311747,-0.04456599999999966,-0.02815999999999974,-0.4962165036752082,-0.8681988144891423,0.6299999999999999,0.0,5.02762,0.881023,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,1.0,33.9,50.5,0,0,1.0,25.257317,55.363052,25.122776,55.383568,1,0,1.1,1.05,15.1,29.48,1.952,172.14,2,1,0,1.298,1.203,-0.9659258262890684,0.2588190451025203,0.43388373911755823,-0.900968867902419,0.8660254037844387,-0.4999999999999998,0,0,0,1,1,25.1900465,55.373310000000004,-0.1345409999999987,0.02051599999999354,0.13675300654269124,-0.9906051762440647,14.38,1.203,35.46444,2.348256,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,1.0,23.7,69.8,0,0,1.0,25.261591,55.369462,25.195139,55.281558,1,0,1.1,1.3,11.52,17.51,1.519,230.13,1,1,0,1.298,1.292,0.8660254037844387,-0.4999999999999998,0.43388373911755823,-0.900968867902419,-2.4492935982947064e-16,1.0,0,0,0,1,1,25.228365,55.325509999999994,-0.06645199999999818,-0.08790400000000176,-0.7675009088803117,-0.6410478569248128,5.990000000000002,1.292,22.622920000000004,1.962548,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,1.0,23.2,65.9,1,0,1.4,25.179088,55.263006,25.237877,55.306014,0,0,1.25,1.05,7.84,10.47,1.336,33.49,0,0,1,1.75,0.928,0.49999999999999994,-0.8660254037844387,0.0,1.0,0.8660254037844386,0.5000000000000001,0,0,0,0,0,25.208482500000002,55.28451,0.05878900000000087,0.04300800000000038,0.5517914363745084,0.833982140542444,2.630000000000001,0.0,9.71616,1.2398080000000002,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,1,0,0,0,1.02,24.7,61.8,0,0,1.0,25.284657,55.373492,25.277851,55.321404,0,0,0.92,1.05,5.29,7.11,1.343,261.79,0,0,0,0.946,0.947,-0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17,0,0,20,0,0,25.281253999999997,55.347448,-0.006806000000000978,-0.05208799999999769,-0.9897513223877435,-0.1428016800731451,1.8200000000000003,0.0,6.73317,1.2718209999999999,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,1.0,30.6,51.8,0,0,1.0,25.273683,55.32513,25.039493,55.247164,0,0,1.05,0.9,27.2,36.77,1.352,196.79,2,1,0,1.239,1.172,-1.0,-1.8369701987210297e-16,-0.433883739117558,-0.9009688679024191,-0.8660254037844386,0.5000000000000001,0,0,0,1,0,25.156588,55.286147,-0.23418999999999812,-0.07796600000000353,-0.288864708770859,-0.9573699285159979,9.570000000000004,1.172,43.09444,1.584544,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,1.0,33.1,47.2,0,0,1.0,25.248699,55.363223,25.233791,55.296173,1,0,1.1,1.05,6.94,10.36,1.491,256.2,1,0,0,1.363,1.366,-0.9659258262890684,0.2588190451025203,-0.7818314824680299,0.6234898018587334,0.8660254037844387,-0.4999999999999998,0,0,0,1,1,25.241245,55.329698,-0.014907999999998367,-0.06704999999999472,-0.971134279909636,-0.23853345757858116,3.419999999999999,1.366,14.15176,2.036706,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,1.0,27.3,68.0,0,0,1.0,25.243405,55.300333,25.194862,55.280086,0,0,1.05,1.3,5.77,7.84,1.359,200.68,0,1,0,1.05,0.817,1.2246467991473532e-16,-1.0,0.0,1.0,-0.5000000000000004,0.8660254037844384,0,0,0,0,0,25.219133499999998,55.2902095,-0.04854299999999867,-0.02024700000000479,-0.35314829068484743,-0.9355673598337911,2.0700000000000003,0.0,6.405279999999999,1.1103029999999998,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,1.0,26.0,61.5,0,0,1.0,25.200006,55.277254,25.288486,55.373409,0,0,1.3,0.92,13.8,16.16,1.171,44.49,1,1,0,1.534,1.145,0.8660254037844387,-0.4999999999999998,0.43388373911755823,-0.900968867902419,-0.5000000000000004,0.8660254037844384,0,0,0,1,0,25.244245999999997,55.325331500000004,0.08848000000000056,0.0961550000000031,0.7007847679377337,0.7133727700343326,2.3599999999999994,1.145,18.5032,1.340795,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
