ride_id,customer_id,captain_id,timestamp,date,hour,minute,day_of_week,day_name,week_of_year,month,month_name,quarter,is_weekend,is_peak_hour,is_late_night,is_offpeak,is_ramadan,is_uae_public_holiday,is_suhoor_window,is_iftar_window,active_event,event_type,event_demand_multiplier,temperature_c,humidity_pct,is_rain,is_sandstorm,weather_demand_factor,pickup_zone,dropoff_zone,pickup_neighborhood,dropoff_neighborhood,pickup_location_source,dropoff_location_source,pickup_lat,pickup_lon,dropoff_lat,dropoff_lon,pickup_area_type,dropoff_area_type,is_airport_ride,is_intrazone_trip,pickup_density_score,dropoff_density_score,route_direct_distance_km,route_distance_km,route_efficiency_ratio,route_bearing_deg,salik_gates,salik_cost_aed,product_type,is_hala_product,payment_method,is_careem_plus,demand_index,captain_availability_score,supply_pressure_index,traffic_index,wait_time_min,trip_duration_min,avg_speed_kmh,surge_multiplier,booking_fee_aed,metered_fare_aed,final_price_aed,price_per_km_aed,booking_status,cancellation_reason,captain_rating,customer_rating,eta_deviation_min
RID2025074993,CUS2812965,CAP208111,2025-09-16 14:26:00,2025-09-16,14,26,1,Tuesday,38,9,September,3,False,False,False,True,False,False,False,False,,,1.0,34.9,74.5,False,False,1.0,Mirdif,Dubai Hills,Mirdif,Nadd Hessa,polygon,polygon,25.224644,55.427402,25.122523,55.380704,Medium,Medium,False,False,1.0,1.05,12.29,29.48,2.399,202.49,2,8.0,Comfort,False,Cash,False,1.0,1.0,0.0,0.947,2.0,35.9,49.3,1.0,3.0,104.94,106.56,3.61,Completed,,4.7,4.3,1.4
RID2025154561,CUS4852460,CAP371752,2025-07-16 23:45:00,2025-07-16,23,45,2,Wednesday,29,7,July,3,False,False,True,False,False,False,False,False,,,1.0,40.9,73.6,False,False,1.0,Deira,Bur Dubai,Al Baraha,Al Kifaf,polygon,polygon,25.27973,55.325827,25.235164,55.297667,Medium,Medium,False,False,1.05,1.05,5.71,6.34,1.111,209.75,1,4.0,Comfort,False,Cash,False,0.966,1.0,0.0,0.793,6.6,4.9,78.0,1.0,2.5,30.18,30.73,4.85,Completed,,4.6,4.7,0.3
RID2025115886,CUS4426934,CAP171800,2025-04-24 19:29:00,2025-04-24,19,29,3,Thursday,17,4,April,2,False,True,False,False,False,False,False,False,,,1.0,33.9,50.5,False,False,1.0,DXB Airport,Dubai Hills,Dubai Int'l Airport,Nadd Hessa,polygon,polygon,25.257317,55.363052,25.122776,55.383568,High,Medium,True,False,1.1,1.05,15.1,29.48,1.952,172.14,2,8.0,Hala Kids,True,Credit Card,False,1.298,0.896,0.104,1.203,5.2,48.3,36.6,1.0,7.5,102.54,100.81,3.42,Completed,,4.3,4.5,-2.3
RID2025089684,CUS1243469,CAP461218,2025-12-18 08:43:00,2025-12-18,8,43,3,Thursday,51,12,December,4,False,True,False,False,False,False,False,False,,,1.0,23.7,69.8,False,False,1.0,DXB Airport,Downtown,Dubai Int'l Airport,Burj Khalifa,polygon,polygon,25.261591,55.369462,25.195139,55.281558,High,High,True,False,1.1,1.3,11.52,17.51,1.519,230.13,1,4.0,Hala Taxi,True,Careem Pay,False,1.298,0.853,0.147,1.292,4.3,35.5,29.6,1.0,7.5,69.52,70.78,4.04,Completed,,4.5,4.4,-1.9
RID2025008429,CUS1334789,CAP371840,2025-02-10 10:55:00,2025-02-10,10,55,0,Monday,7,2,February,1,False,False,False,True,False,False,False,False,,,1.0,23.2,65.9,True,False,1.4,Business Bay,Bur Dubai,Business Bay,Oud Metha,polygon,polygon,25.179088,55.263006,25.237877,55.306014,High,Medium,False,False,1.25,1.05,7.84,10.47,1.336,33.49,0,0.0,Eco Friendly,False,Careem Plus,True,1.75,0.54,0.46,0.928,3.6,10.2,61.5,1.75,3.5,63.46,62.88,6.01,Completed,,4.6,4.6,-1.7
RID2025064825,CUS4744214,CAP286432,2025-03-01 20:15:00,2025-03-01,20,15,5,Saturday,9,3,March,1,True,False,False,True,True,False,False,False,Dubai Food Festival,Food Festival,1.02,24.7,61.8,False,False,1.0,Al Nahda,Deira,Al Nahda Second,Al Baraha,polygon,polygon,25.284657,55.373492,25.277851,55.321404,Medium,Medium,False,False,0.92,1.05,5.29,7.11,1.343,261.79,0,0.0,Comfort,False,Credit Card,False,0.946,0.922,0.078,0.947,2.3,9.2,46.5,1.0,3.0,29.29,28.8,4.05,Completed,,4.9,4.4,0.6
RID2025125535,CUS2518283,CAP415122,2025-10-24 18:08:00,2025-10-24,18,8,4,Friday,43,10,October,4,False,True,False,False,False,False,False,False,,,1.0,30.6,51.8,False,False,1.0,Deira,JVC,Al Muteena,Al Hebiah Second,polygon,polygon,25.273683,55.32513,25.039493,55.247164,Medium,Low,False,False,1.05,0.9,27.2,36.77,1.352,196.79,2,8.0,Hala Taxi,True,Credit Card,False,1.239,0.953,0.047,1.172,8.0,55.6,39.7,1.0,7.5,105.39,94.55,2.57,Completed,,4.4,4.3,0.3
RID2025095898,CUS2424558,CAP269318,2025-04-27 19:24:00,2025-04-27,19,24,6,Sunday,17,4,April,2,True,True,False,False,False,False,False,False,,,1.0,33.1,47.2,False,False,1.0,DXB Airport,Bur Dubai,Dubai Int'l Airport,Al Kifaf,polygon,polygon,25.248699,55.363223,25.233791,55.296173,High,Medium,True,False,1.1,1.05,6.94,10.36,1.491,256.2,1,4.0,Comfort,False,Cash,False,1.363,0.9,0.1,1.366,4.4,18.2,34.1,1.25,5.0,55.08,60.94,5.88,Completed,,4.8,4.6,0.1
RID2025028301,CUS4573026,CAP259117,2025-11-10 12:47:00,2025-11-10,12,47,0,Monday,46,11,November,4,False,False,False,True,False,False,False,False,,,1.0,27.3,68.0,False,False,1.0,Bur Dubai,Downtown,Al Karama,Burj Khalifa,polygon,polygon,25.243405,55.300333,25.194862,55.280086,Medium,High,False,False,1.05,1.3,5.77,7.84,1.359,200.68,0,0.0,Hala Taxi,True,Cash,False,1.05,0.892,0.108,0.817,2.9,7.9,59.7,1.0,4.0,27.52,27.06,3.45,Completed,,4.3,5.0,-0.4
RID2025021371,CUS4950615,CAP233891,2025-11-13 08:17:00,2025-11-13,8,17,3,Thursday,46,11,November,4,False,True,False,False,False,False,False,False,,,1.0,26.0,61.5,False,False,1.0,Downtown,Al Nahda,Burj Khalifa,Al Nahda Second,polygon,polygon,25.200006,55.277254,25.288486,55.373409,High,Medium,False,False,1.3,0.92,13.8,16.16,1.171,44.49,1,4.0,Hala MAX,True,Credit Card,False,1.534,0.762,0.238,1.145,5.4,25.2,38.5,1.0,8.0,64.61,61.61,3.81,Completed,,3.7,4.4,0.1
